geography code,outcode,postcodes,Welsh speaking ability: Total: All usual residents aged 3 years and over,Welsh speaking ability: Cannot speak Welsh,Welsh speaking ability: Can speak Welsh
W00009599,CF1,"CF1 8LT, CF1 8LU, CF1 9AD, CF1 9AE, CF1 9RB, CF1 9RF, CF1 9RH, CF1 9SD, CF1 9SF, CF1 9SG, CF1 9XA, CF1 9XE, CF1 9XG, CF1 9XN, CF1 9XZ, CF11 6BY, CF11 6LF, CF11 6LT, CF11 6LU, CF11 6LW, CF11 6LX, CF11 6LZ, CF11 9AD, CF11 9AE, CF11 9BJ, CF11 9FH, CF11 9RF, CF11 9RR, CF11 9RZ, CF11 9SG, CF11 9YF",320,278,42
W00009598,CF1,"CF1 9AH, CF1 9AJ, CF1 9BH, CF1 9SH, CF11 6BG, CF11 6BJ, CF11 6FW, CF11 6FZ, CF11 9AS, CF11 9BA, CF11 9BG, CF11 9BH",433,412,21
W00010139,CF1,"CF1 5LP, CF1 5TR, CF1 5TT, CF10 4HA, CF10 4LS, CF10 4NQ, CF10 4PJ, CF10 4RF, CF10 4RG, CF10 4TE",296,262,34
W00009566,CF1,"CF1 8JX, CF1 8LD, CF1 8LP, CF1 8LR, CF1 8UX, CF1 8UZ, CF1 8WA, CF1 8WB, CF1 9AF, CF1 9RJ, CF1 9TZ, CF11 6EQ, CF11 6ER, CF11 6JX, CF11 6LB, CF11 6LE, CF11 6WP",407,376,31
W00009567,CF1,"CF1 8DY, CF1 8EE, CF1 8HB, CF1 8JD, CF1 8JN, CF1 8XA, CF1 8XG, CF1 8XN, CF1 8XZ, CF1 8YA, CF1 8YB, CF1 8YE, CF1 8YF, CF1 8YG, CF1 8YH, CF1 8YJ, CF1 8YL, CF1 8YN, CF1 8YP, CF1 8YQ, CF1 8YW, CF1 8YY, CF11 6HE, CF11 6HU, CF11 6HY, CF11 6JE, CF11 6JN",263,238,25
W00010141,CF1,"CF1 1AD, CF1 1DA, CF1 1DB, CF1 1DD, CF1 1DE, CF1 1DF, CF1 1DG, CF1 1DH, CF1 1DJ, CF1 1DL, CF1 1DN, CF1 1EA, CF1 1EB, CF1 1EH, CF1 1EJ, CF1 1EN, CF1 1ER, CF1 1ES, CF1 1EU, CF1 1GP, CF1 1HA, CF1 1HB, CF1 1HD, CF1 1HE, CF1 1HF, CF1 1HH, CF1 1HL, CF1 1HN, CF1 1JA, CF1 1JB, CF1 1JD, CF1 1JE, CF1 1JF, CF1 1JG, CF1 1JL, CF1 1JN, CF1 1JP, CF1 1JR, CF1 1JS, CF1 1JX, CF1 1JY, CF1 1JZ, CF1 1LD, CF1 1LL, CF1 1LN, CF1 1LQ, CF1 1LT, CF1 1NB, CF1 1NG, CF1 1NJ, CF1 1NN, CF1 1NR, CF1 1NS, CF1 1NT, CF1 1NX, CF1 1PD, CF1 1PE, CF1 1PG, CF1 1PJ, CF1 1PL, CF1 1PS, CF1 1PY, CF1 1QA, CF1 1QD, CF1 1SU, CF1 1TB, CF1 1TD, CF1 1TE, CF1 1TF, CF1 1TH, CF1 1TL, CF1 1TX, CF1 1UA, CF1 1UB, CF1 1UH, CF1 1UL, CF1 1UN, CF1 1UP, CF1 1UT, CF1 1UU, CF1 1UW, CF1 1UX, CF1 1WH, CF1 1XB, CF1 1XD, CF1 1XE, CF1 1XF, CF1 1XH, CF1 1XJ, CF1 1XQ, CF1 1XS, CF1 1XT, CF1 1YD, CF1 1YH, CF1 1YJ, CF1 1YP, CF1 2BL, CF1 2BR, CF1 2BW, CF1 2PH, CF1 2QE, CF1 2QZ, CF1 2XA, CF1 2XB, CF1 2XF, CF1 2XN, CF1 2XX, CF1 3QW, CF1 9SX, CF1 9XW, CF10 1BJ, CF10 1DA, CF10 1DB, CF10 1DE, CF10 1DF, CF10 1DG, CF10 1DH, CF10 1DJ, CF10 1DL, CF10 1DN, CF10 1EE, CF10 1ER, CF10 1ES, CF10 1ET, CF10 1EY, CF10 1JA, CF10 1LA, CF10 1NS, CF10 1NT, CF10 1NW, CF10 1PG, CF10 1UB, CF10 1UD, CF10 1UE, CF10 1XD, CF10 1XR, CF10 1XX, CF10 1XZ, CF10 1YW, CF10 2XB, CF11 9SX",171,153,18
W00010580,CF1,"CF1 2UL, CF1 5AZ, CF1 5BG, CF1 5BP, CF10 4AH, CF10 4AJ, CF10 4AY, CF10 4AZ, CF10 4BG, CF10 4BQ, CF10 4BZ, CF10 4DW, CF10 4DZ, CF10 4PP, CF10 4PS, CF10 4RT, CF10 4TP",615,537,78
W00010170,CF1,"CF1 7EJ, CF1 7HZ, CF11 7EF, CF11 7EH",193,175,18
W00010168,CF1,"CF1 7EF, CF1 7EH, CF11 7JT, CF11 7JU",240,216,24
W00010585,CF1,"CF1 8BS, CF1 8BU, CF1 8DG, CF1 8UL, CF11 8FS, CF11 8PL",263,218,45
W00009557,CF1,"CF1 8LL, CF11 6AG, CF11 6AQ, CF11 6AS, CF11 6AT, CF11 6AU, CF11 6BE, CF11 6LH, CF11 6NB",407,380,27
W00009558,CF1,"CF1 9DZ, CF1 9EA, CF1 9NS, CF11 9DP, CF11 9DS, CF11 9DY, CF11 9DZ, CF11 9FE, CF11 9NA, CF11 9NJ, CF11 9NY, CF11 9NZ, CF11 9XH",305,236,69
W00010201,CF1,"CF1 6JG, CF1 6TU, CF10 5NF, CF10 5NG, CF10 5NJ, CF10 5ZN",233,210,23
W00010200,CF1,"CF1 6UF, CF1 6UW, CF10 5NR, CF10 5NS",247,231,16
W00010198,CF1,"CF1 5SS, CF1 6PE, CF10 4DA, CF10 4DB, CF10 4DD, CF10 4EX, CF10 5AP, CF10 5HP, CF10 5LF, CF10 5LS",266,251,15
W00009559,CF1,"CF1 8DN, CF1 8DT, CF1 8DU, CF1 8DW, CF1 8DX, CF1 8DZ, CF1 8EA, CF1 8HU, CF1 8JH, CF1 9AU, CF1 9AW, CF1 9BB, CF1 9BG, CF11 6DB, CF11 6DT, CF11 6JH, CF11 6JP, CF11 6JQ",373,332,41
W00010195,CF1,"CF1 6PR, CF10 4AD, CF10 4AE, CF10 4AF, CF10 4AQ, CF10 4AT",155,131,24
W00009560,CF1,"CF1 8LF, CF1 8LQ, CF1 8LS, CF1 8LX, CF1 9DR, CF1 9TA, CF1 9TL, CF11 6LD, CF11 6LP, CF11 6LR, CF11 6UX, CF11 9AF",420,384,36
W00009561,CF1,"CF1 8HS, CF1 8HT, CF1 8JF, CF1 8JG, CF1 8JJ, CF1 8JP, CF1 8JQ, CF1 8JR, CF1 8XR, CF1 8XU, CF1 8XW, CF1 8YD, CF1 8YR, CF1 9AR, CF1 9AS, CF1 9AT, CF1 9BA, CF11 6FU, CF11 6HS, CF11 6HT, CF11 6JF, CF11 6JG, CF11 6JJ, CF11 6NY, CF11 8HA, CF11 8HG, CF11 8HH, CF11 9AN, CF11 9AR, CF11 9AT, CF11 9TB, CF11 9TQ",336,295,41
W00009726,CF1,"CF1 1RH, CF14 1LQ, CF14 1LU, CF14 1LW, CF14 1NB, CF14 1NH, CF14 1PA, CF14 1PB, CF14 1PD, CF14 1PE, CF14 1PG, CF14 1PH, CF14 2DX, CF14 2DZ, CF14 2EB, CF4 1AA, CF4 1DA, CF4 1DB, CF4 1LQ, CF4 1LU, CF4 1LW, CF4 1NL, CF4 1NN, CF4 1XA, CF4 1XQ, CF4 2DX, CF4 2DZ",328,225,103
W00010191,CF1,"CF1 5BH, CF1 5SX, CF10 4AG, CF10 4AN, CF10 4AR, CF10 4AS, CF10 4BY, CF10 4LG, CF10 4QG, CF10 4QL, CF10 4SD, CF10 4TL, CF10 4UP, CF10 4WW, CF10 4YY",185,168,17
W00009562,CF1,"CF1 9AG, CF1 9BE, CF1 9TY, CF11 6FX, CF11 6FY, CF11 6JY, CF11 6LA, CF11 9AG, CF11 9BD, CF11 9BL, CF11 9BN, CF11 9SH",302,282,20
W00008814,CF1,"CF1 5ES, CF1 5ET, CF1 5HF, CF1 5HG, CF1 5HH, CF1 5HN, CF1 5HS, CF1 5QD, CF1 5RG, CF1 5ST, CF1 5SY, CF1 5SZ, CF10 5HE, CF10 5HG, CF10 5HL, CF10 5HN, CF10 5HU, CF10 5HW, CF10 5HZ",488,459,29
W00010173,CF1,"CF1 7HQ, CF1 7JD, CF1 7JG, CF1 7JH, CF1 7JJ, CF1 7JL, CF1 7QD, CF1 7QE, CF1 7QF, CF1 7RL, CF1 7RP, CF1 7RQ, CF1 7TR, CF1 7TS, CF1 7TX, CF1 7TY, CF1 7UG, CF1 7UH, CF1 7UJ, CF1 7UQ, CF1 7UZ, CF1 7XR, CF11 0AA, CF11 0AB, CF11 0AD, CF11 0AE, CF11 0AF, CF11 0AG, CF11 0AH, CF11 0AJ, CF11 0AR, CF11 0BB, CF11 0JR, CF11 0SR, CF11 0XR, CF11 7FF, CF11 7JH, CF11 7JW, CF11 8EE, CF11 8QF, CF11 8RQ, CF11 8TS, CF11 8TT, CF11 8TX, CF11 8UP, CF11 8UT, CF11 8UU, CF11 8YN, CF11 8YT",252,225,27
W00009563,CF1,"CF1 8LJ, CF1 8LN, CF1 8LY, CF1 8LZ, CF1 8PA, CF1 9AA, CF1 9AB, CF1 9AZ, CF1 9BJ, CF1 9SR, CF1 9SS, CF1 9ST, CF1 9TH, CF1 9TR, CF1 9TU, CF1 9XJ, CF11 6LG, CF11 6LJ, CF11 6LL, CF11 6LN, CF11 6LY, CF11 9AA, CF11 9AB, CF11 9AQ, CF11 9AU, CF11 9BB, CF11 9RP, CF11 9SR, CF11 9SS, CF11 9ST, CF11 9TT, CF24 4XG",279,260,19
W00009568,CF1,"CF1 8LG, CF1 8LH, CF1 8LW, CF1 8RG, CF1 8SY, CF11 6AY, CF11 6BD, CF11 6EN, CF11 6EP, CF11 6LQ, CF11 6LS",376,346,30
W00010584,CF1,"CF1 1QY, CF1 1QZ, CF1 1RN, CF1 1XA, CF1 1XL, CF1 1XP, CF1 1XR, CF1 1XU, CF1 1XY, CF1 1YT, CF1 1YY, CF1 1ZD, CF1 1ZE, CF1 1ZF, CF1 1ZG, CF1 1ZH, CF1 1ZJ, CF1 1ZL, CF1 1ZN, CF1 1ZP, CF1 1ZQ, CF1 1ZR, CF1 1ZS, CF1 1ZT, CF1 1ZU, CF1 1ZW, CF1 1ZX, CF1 1ZY, CF1 1ZZ, CF1 2AW, CF1 2AY, CF1 2AZ, CF1 2BA, CF1 2BB, CF1 2BD, CF1 2BE, CF1 2BN, CF1 2BP, CF1 2BS, CF1 2BT, CF1 2DA, CF1 2DG, CF1 2DH, CF1 2DL, CF1 2PE, CF1 2PG, CF1 2PW, CF1 2PX, CF1 2PY, CF1 2PZ, CF1 2QA, CF1 2QB, CF1 2QD, CF1 2QF, CF1 2QJ, CF1 2QL, CF1 2QN, CF1 2QQ, CF1 2QR, CF1 2QS, CF1 2QW, CF1 2RA, CF1 2RB, CF1 2RE, CF1 2RG, CF1 2RJ, CF1 2RP, CF1 2RQ, CF1 2RS, CF1 2RW, CF1 2RX, CF1 2SA, CF1 2SB, CF1 2SD, CF1 2SH, CF1 2UA, CF1 2UB, CF1 2UD, CF1 2UG, CF1 2XE, CF1 2XP, CF1 3AA, CF1 3AD, CF1 3AE, CF1 3AF, CF1 3AG, CF1 3AH, CF1 3AP, CF1 3AQ, CF1 3AR, CF1 3AS, CF1 3AT, CF1 3BA, CF1 3BD, CF1 3BE, CF1 3BG, CF1 3BH, CF1 3BJ, CF1 3BL, CF1 3BN, CF1 3BQ, CF1 3BT, CF1 3DY, CF1 3EA, CF1 3EB, CF1 3HA, CF1 3JA, CF1 3JB, CF1 3JD, CF1 3JF, CF1 3JG, CF1 3JH, CF1 3JN, CF1 3JP, CF1 3JQ, CF1 3JR, CF1 3JS, CF1 3JU, CF1 3JW, CF1 3JY, CF1 3LB, CF1 3LE, CF1 3LH, CF1 3LP, CF1 3LQ, CF1 3LR, CF1 3LU, CF1 3LY, CF1 3LZ, CF1 3NA, CF1 3NB, CF1 3ND, CF1 3NE, CF1 3NF, CF1 3NH, CF1 3NJ, CF1 3NL, CF1 3NN, CF1 3NP, CF1 3NQ, CF1 3NS, CF1 3NU, CF1 3NW, CF1 3NX, CF1 3NY, CF1 3NZ, CF1 3PA, CF1 3PB, CF1 3PF, CF1 3PG, CF1 3PJ, CF1 3PL, CF1 3PN, CF1 3PP, CF1 3PQ, CF1 3PR, CF1 3PS, CF1 3PU, CF1 3PW, CF1 3PX, CF1 3PY, CF1 3QA, CF1 3QB, CF1 3QD, CF1 3QE, CF1 3QF, CF1 3QG, CF1 3QH, CF1 3QJ, CF1 3QL, CF1 3QN, CF1 3QP, CF1 3QQ, CF1 3QS, CF1 3QU, CF1 3QX, CF1 3QY, CF1 3RA, CF1 3RB, CF1 3RG, CF1 3RL, CF1 3RP, CF1 3RQ, CF1 3RR, CF1 3RW, CF1 3RX, CF1 3SA, CF1 3SH, CF1 3TN, CF1 3TR, CF1 3TX, CF1 3TZ, CF1 3UD, CF1 3UN, CF1 3UP, CF1 3UQ, CF1 3XA, CF1 3XB, CF1 3XD, CF1 3XE, CF1 3XF, CF1 3XG, CF1 3XH, CF1 3XN, CF1 3XP, CF1 3XQ, CF1 3XR, CF1 3XS, CF1 3XT, CF1 3XU, CF1 3XW, CF1 3XX, CF1 3XY, CF1 3XZ, CF1 3YB, CF1 3YD, CF1 3YE, CF1 3YF, CF1 3YG, CF1 3YH, CF1 3YJ, CF1 3YL, CF1 3YN, CF1 3YP, CF1 3YQ, CF1 3YX, CF1 4AD, CF1 4AE, CF1 4BA, CF1 4BD, CF1 4BU, CF1 4JE, CF1 4JG, CF1 4JJ, CF1 4JQ, CF1 4JR, CF1 4JS, CF1 4JT, CF1 4JU, CF1 4JX, CF1 4JY, CF1 4LA, CF1 4LB, CF1 4LD, CF1 4LE, CF1 4LF, CF1 4LG, CF1 4LL, CF1 4LN, CF1 4LP, CF1 4LQ, CF1 4LS, CF1 4NZ, CF1 4PQ, CF1 4PR, CF1 4QB, CF1 4QQ, CF1 4QS, CF1 4QT, CF1 4QU, CF1 4QY, CF1 4RB, CF1 4RJ, CF1 4ST, CF1 4TB, CF1 4UW, CF1 4YA, CF1 4YB, CF1 4YD, CF1 4YE, CF1 4YF, CF1 4YG, CF1 4YH, CF1 4YJ, CF1 4YL, CF1 4YN, CF1 4YP, CF1 4YU, CF1 6TR, CF10 1AR, CF10 1AS, CF10 1AW, CF10 1AX, CF10 1AY, CF10 1AZ, CF10 1BA, CF10 1BB, CF10 1BD, CF10 1BE, CF10 1BG, CF10 1BR, CF10 1BS, CF10 1BT, CF10 1BU, CF10 1BW, CF10 1BX, CF10 1BY, CF10 1DD, CF10 1DP, CF10 1EA, CF10 1GL, CF10 1PT, CF10 1PU, CF10 1PX, CF10 1PY, CF10 1PZ, CF10 1QR, CF10 1RG, CF10 1RJ, CF10 1SX, CF10 1SZ, CF10 1UL, CF10 2AE, CF10 2AF, CF10 2AG, CF10 2AH, CF10 2AP, CF10 2AQ, CF10 2AR, CF10 2AS, CF10 2NG, CF10 2PB, CF10 2UD, CF10 3AA, CF10 3AE, CF10 3AF, CF10 3AG, CF10 3AH, CF10 3AJ, CF10 3AN, CF10 3AP, CF10 3AQ, CF10 3AS, CF10 3AT, CF10 3AU, CF10 3AX, CF10 3AZ, CF10 3BA, CF10 3BB, CF10 3BD, CF10 3BE, CF10 3BG, CF10 3BH, CF10 3BJ, CF10 3BL, CF10 3BN, CF10 3BP, CF10 3BS, CF10 3DA, CF10 3DB, CF10 3DG, CF10 3DQ, CF10 3DS, CF10 3EA, CF10 3ER, CF10 3ES, CF10 3ET, CF10 3EW, CF10 3FA, CF10 3FB, CF10 3FD, CF10 3FE, CF10 3FF, CF10 3FG, CF10 3HE, CF10 3HH, CF10 3HJ, CF10 3HX, CF10 3JF, CF10 3JJ, CF10 3JN, CF10 3JR, CF10 3LU, CF10 3NB, CF10 3ND, CF10 3NE, CF10 3NH, CF10 3NL, CF10 3NN, CF10 3NP, CF10 3NQ, CF10 3NS, CF10 3NW, CF10 3NX, CF10 3NY, CF10 3NZ, CF10 3PA, CF10 3PD, CF10 3PG, CF10 3PL, CF10 3PN, CF10 3PW, CF10 3QA, CF10 3QB, CF10 3QE, CF10 3QG, CF10 3QH, CF10 3QU, CF10 3RA, CF10 3RB, CF10 3RL, CF10 3RQ, CF10 3SE, CF10 3TN, CF10 3TQ, CF10 3TW, CF10 3UB, CF10 3UH, CF10 3UZ, CF10 3WA, CF10 3WG, CF10 3WL, CF10 3WT, CF10 3WU, CF10 3XG, CF10 3YB, CF10 3ZZ, CF2 4AH, CF2 4AW, CF2 4AY, CF2 4AZ",331,309,22
W00010131,CF1,"CF1 1SL, CF1 1WP, CF1 2EG, CF1 2EJ, CF1 2TL, CF1 4DZ, CF1 4EU, CF1 4EW, CF1 4EY, CF1 4HA, CF1 4HJ, CF1 4HL, CF1 4HQ, CF1 4HX, CF1 4UR, CF1 4US, CF10 2ED, CF10 2EE, CF10 2EP, CF10 2EQ, CF10 2FE, CF10 2FY, CF10 2GY, CF10 2HA, CF10 2HE, CF10 2HG, CF10 2HJ, CF10 2HL, CF10 2HR, CF10 2HS, CF10 2HT, CF10 2HU, CF10 2HW, CF10 2NB, CF10 2TH, CF10 2UA, CF10 2WT, CF95 1AA, CF95 1AB, CF95 1AD, CF95 1AE, CF95 1AF, CF95 1AG, CF95 1AS",346,334,12
W00010130,CF1,"CF1 1LB, CF1 1LG, CF1 1RT, CF1 1RU, CF1 1SR, CF1 1WE, CF1 2QG, CF1 3AB, CF1 3BU, CF1 3BW, CF1 3BY, CF1 3BZ, CF1 3DA, CF1 3DB, CF1 3DD, CF1 3DE, CF1 3DL, CF1 3DN, CF1 3DP, CF1 3DQ, CF1 3DW, CF1 3JE, CF1 3JJ, CF1 3JL, CF1 3LA, CF1 3LD, CF1 3LG, CF1 3LJ, CF1 3LL, CF1 3LN, CF1 3LT, CF1 3PD, CF1 3PE, CF1 3PH, CF1 3PZ, CF1 3QZ, CF1 3RD, CF1 3RE, CF1 3RH, CF1 3RJ, CF1 3RN, CF1 3RT, CF1 3RY, CF1 3RZ, CF1 3SB, CF1 3SD, CF1 3SG, CF1 3SJ, CF1 3SN, CF1 3SP, CF1 3SQ, CF1 3ST, CF1 3SU, CF1 3SY, CF1 3SZ, CF1 3TJ, CF1 3TP, CF1 3UA, CF1 3UB, CF1 3UE, CF1 3UF, CF1 3UG, CF1 3UJ, CF1 3UL, CF1 3UR, CF1 3US, CF1 3UT, CF1 3UU, CF1 3UW, CF1 3UX, CF1 3UY, CF1 3UZ, CF1 3WA, CF1 3WB, CF1 3WD, CF1 3WE, CF1 3WH, CF1 3WJ, CF1 3WP, CF1 3YZ, CF1 4BG, CF1 4BL, CF1 4BN, CF1 4DN, CF1 4ET, CF1 4EX, CF1 4EZ, CF1 4NL, CF1 4PA, CF1 4PE, CF1 4PF, CF1 4PJ, CF1 4PS, CF1 4PW, CF1 4QA, CF1 4SR, CF1 4UX, CF1 4UY, CF10 2AT, CF10 2AU, CF10 2AX, CF10 2BD, CF10 2BE, CF10 2BG, CF10 2BH, CF10 2BJ, CF10 2GL, CF10 2GP, CF10 2HD, CF10 2HF, CF10 2HH, CF10 2HQ, CF10 2NX, CF10 2PA, CF10 2PS, CF10 2TD, CF10 2TN, CF10 2TT, CF10 2TW, CF10 2TY, CF10 2XQ, CF10 2ZA, CF10 3AB, CF10 3AD, CF10 3AL, CF10 3AR, CF10 3AW, CF10 3AY, CF10 3BF, CF10 3BQ, CF10 3BR, CF10 3BU, CF10 3BW, CF10 3BX, CF10 3BY, CF10 3BZ, CF10 3DD, CF10 3DE, CF10 3DF, CF10 3DJ, CF10 3DL, CF10 3DN, CF10 3DP, CF10 3DR, CF10 3FN, CF10 3GA, CF10 3GE, CF10 3GL, CF10 3LN, CF10 3PE, CF10 3RE, CF10 3RJ, CF10 3RS, CF10 3RX, CF10 3SB, CF10 3SG, CF10 3SR, CF10 3SX, CF10 3UD, CF10 3UE, CF10 3UR, CF10 3ZE, CF10 3ZF, CF2 1SA, CF2 1SB, CF2 1SH, CF2 1SQ, CF2 1TT, CF2 3AF, CF24 0SH",435,403,32
W00009569,CF1,"CF1 8DP, CF1 8EB, CF1 8ED, CF1 8EG, CF1 8EY, CF1 8EZ, CF1 8GA, CF11 6DY, CF11 6ED, CF11 6EG, CF11 6EZ",295,263,32
